# Dépenses fiscales (« niches ») — annexe Voies et Moyens tome II, PLF 2023.
#
# POURQUOI CE FICHIER : c'est la part de l'argent public qui « sort » sans
# bénéficiaire nominatif — l'État en connaît le coût PAR DISPOSITIF mais ne
# publie (et souvent ne connaît) aucun bénéficiaire ligne à ligne. Ce fichier
# alimente la décomposition de l'estimation affichée sur l'accueil.
#
# Source officielle : PLF 2023, Évaluation des Voies et Moyens tome II,
# publié sur data.economie.gouv.fr (dataset
# plf2023_voies_et_moyens_t2_liste_des_depenses_fiscales, XLSX joint,
# onglets « Chiffrages » et « Bénéficiaires » fusionnés par numéro).
# DERNIER MILLÉSIME MACHINE-READABLE : le PLF 2024 ne publie que la liste
# sans chiffrage, les PLF 2025-2026 uniquement des PDF (constat 2026-07-04).
#
# Montants en MILLIONS d'euros. Légende officielle : « - » = aucun effet,
# « ε » = < 0,5 M€, « nc » = non calculé. La colonne la plus complète est la
# réalisation 2021 (333 dispositifs chiffrés sur 465).
impot_categorie;sous_categorie;sous_sous_categorie;numero;libelle;chiffrage_2021_realisation_Meur;chiffrage_2022_prevision_Meur;chiffrage_2023_prevision_Meur;beneficiaires_nature;beneficiaires_nombre
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100101;Déduction des versements effectués en vue de la retraite mutualiste du combattant;24;24;24;Ménages;133000
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100102;Déduction du revenu global des charges foncières supportées par les propriétaires d’immeubles classés ou inscrits au titre des monuments historiques ou labellisés Fondation du patrimoine et non productifs de revenus;12;18;18;Ménages;4284
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100105;Déduction des avantages en nature consentis en l'absence d'obligation alimentaire à des personnes âgées de plus de 75 ans, de condition modeste, qui vivent sous le toit du contribuable;2;2;2;Ménages;5248
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Déductions;100114;Déduction des travaux de grosses réparations supportés par les nus-propriétaires dans le cas de démembrements de propriété consécutifs à une succession ou une donation;2;1;-;Ménages;1676
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Abattements;100201;Abattement en faveur des personnes âgées ou invalides de condition modeste;328;328;328;Ménages;6646745
Impôt sur le revenu;Déductions et abattements pratiqués sur le revenu global;Abattements;100202;Abattement en faveur des contribuables ayant des enfants mariés ou chargés de famille rattachés à leur foyer fiscal;2;2;2;Ménages;2506
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110102;Demi-part supplémentaire pour les contribuables vivant seuls ayant eu à titre exclusif ou principal, en vivant seuls, la charge d'enfants pendant au moins cinq ans;584;586;586;Ménages;1222946
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110103;Demi-part supplémentaire pour les contribuables (et leurs conjoints survivants) de plus de 74 ans titulaires de la carte du combattant et pour les conjoints survivants de plus de 74 ans des personnes ayant bénéficié de la retraite du combattant;525;521;521;Ménages;857220
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110104;Demi-part supplémentaire pour les contribuables invalides;456;476;476;Ménages;1437327
Impôt sur le revenu;Calcul de l'impôt;Demi-parts supplémentaires;110107;Maintien du quotient conjugal pour les contribuables veufs ayant des enfants à charge;111;109;109;Ménages;137186
